COMPANY_CD_FSK,CUSTOMER_CD_FSK,PRODUCT_CD_FSK,INVOICE_YEAR_MONTH,QUANTITY_PIECES,GROSS_SALES
127,4216,503964,2021-02-01 00:00:00,40,7698.38
72,19392432,90967863,2021-08-01 00:00:00,80,7637.219999999999
127,4462,492610,2021-04-01 00:00:00,60,7592.42
127,20751556,498781,2021-10-01 00:00:00,4,7575.56
127,2289,490967,2021-04-01 00:00:00,26,7565.68
127,4218,491183,2021-11-01 00:00:00,40,7563.68
127,3584,502207,2021-01-01 00:00:00,372,7557.08
127,871,490074,2021-06-01 00:00:00,240,7540.8
72,19392432,90938897,2021-08-01 00:00:00,220,7526.02
72,19392432,90965329,2021-05-01 00:00:00,48,7516.860000000001
211,3468752,12990501,2021-10-01 00:00:00,6000,7500
211,3468752,13043601,2021-11-01 00:00:00,6000,7500
213,32357561,154551095,2021-05-01 00:00:00,120,7453.2
72,19392432,90940408,2021-05-01 00:00:00,112,7375.35
127,4462,503641,2021-05-01 00:00:00,12,7372.02
127,3307,496279,2021-03-01 00:00:00,544,7360.32
127,5284,503690,2021-03-01 00:00:00,12,7353.14
127,5284,511092,2021-03-01 00:00:00,12,7353.14
127,4176,510666,2021-11-01 00:00:00,20,7334.98
72,19392432,90958543,2021-01-01 00:00:00,720,7332.48
127,3584,492323,2021-01-01 00:00:00,72,7331.28
127,4993,493583,2021-06-01 00:00:00,4,7227.1
72,19392432,90947457,2021-03-01 00:00:00,72,7221.46
127,4462,497033,2021-08-01 00:00:00,120,7217.04
127,1872,494274,2021-11-01 00:00:00,288,7191.24
72,25556467,90965350,2021-10-01 00:00:00,200,7176.62
241,5664978,22638605,2021-09-01 00:00:00,0,7124.26
127,871,504561,2021-11-01 00:00:00,38,7120
127,4993,508151,2021-05-01 00:00:00,8,7119.2
127,3273,503531,2021-10-01 00:00:00,6080,7113.6
72,19392432,90949936,2021-06-01 00:00:00,20,7112.450000000001
127,23049184,503939,2021-11-01 00:00:00,1400,7098
127,847,503972,2021-07-01 00:00:00,100,7091
127,871,492164,2021-08-01 00:00:00,144,7087.68
213,32353079,154553043,2021-08-01 00:00:00,204,7076.76
127,4216,512136,2021-04-01 00:00:00,480,7063.2
127,4993,511997,2021-05-01 00:00:00,40,7035.2
72,19394766,90933039,2021-03-01 00:00:00,8,7033.7
72,19392432,90944681,2021-11-01 00:00:00,32,7013.66
127,847,499061,2021-04-01 00:00:00,340,7000.6
211,3466244,12997890,2021-05-01 00:00:00,4320,6998.4
127,847,510722,2021-04-01 00:00:00,336,6985.44
127,847,503972,2021-03-01 00:00:00,100,6945
127,3584,505145,2021-10-01 00:00:00,16,6917.32
127,4176,509637,2021-03-01 00:00:00,636,6880.88
127,1285,507386,2021-07-01 00:00:00,844,6861.72
127,4216,491682,2021-11-01 00:00:00,168,6855.28
127,2484,512136,2021-07-01 00:00:00,544,6849.48
211,3468752,13022626,2021-10-01 00:00:00,6000,6840
127,4176,510666,2021-04-01 00:00:00,20,6834.96
211,3477591,12979175,2021-07-01 00:00:00,1200,6822
72,19392432,90943909,2021-01-01 00:00:00,1000,6789.33
127,1872,494274,2021-05-01 00:00:00,288,6777.08
127,590,6514481,2021-02-01 00:00:00,4,6754.56
127,20751556,499039,2021-10-01 00:00:00,104,6736.08
127,1285,512136,2021-06-01 00:00:00,1566,6707.1
127,1285,507386,2021-05-01 00:00:00,820,6682.92
127,847,503972,2021-02-01 00:00:00,96,6667.2
127,4216,489326,2021-07-01 00:00:00,44,6648.06
127,847,506920,2021-09-01 00:00:00,40,6632.8
213,32351569,154547222,2021-07-01 00:00:00,1800,6624
127,1872,494274,2021-02-01 00:00:00,280,6588.82
72,19394766,90974360,2021-11-01 00:00:00,2,6560.84
127,4176,510666,2021-01-01 00:00:00,20,6553.8
127,4216,508064,2021-02-01 00:00:00,200,6547.92
127,4216,491682,2021-05-01 00:00:00,168,6541.34
127,4216,491682,2021-09-01 00:00:00,168,6541.34
127,3584,503481,2021-10-01 00:00:00,12,6528.3
127,1872,495587,2021-11-01 00:00:00,6000,6508.8
127,1530,489326,2021-04-01 00:00:00,50,6480.46
127,4218,499215,2021-04-01 00:00:00,380,6469.12
127,4176,493025,2021-04-01 00:00:00,64,6467.58
127,4462,509985,2021-04-01 00:00:00,80,6453.22
211,3466244,13047763,2021-06-01 00:00:00,8524,6393
72,19392432,90947457,2021-01-01 00:00:00,64,6389.969999999999
127,4216,491682,2021-03-01 00:00:00,168,6388.04
213,32353079,154549124,2021-08-01 00:00:00,204,6381.12
241,5664978,22602021,2021-06-01 00:00:00,70,6373.64
127,4216,503677,2021-04-01 00:00:00,100,6358.76
127,3584,512136,2021-06-01 00:00:00,528,6358.16
127,4462,512088,2021-06-01 00:00:00,28,6291.02
127,3584,510508,2021-11-01 00:00:00,4,6284.64
127,871,490074,2021-02-01 00:00:00,200,6284
127,3584,509985,2021-01-01 00:00:00,80,6282.56
127,4216,496822,2021-09-01 00:00:00,480,6281.82
213,32353079,154568646,2021-06-01 00:00:00,960,6268.8
127,4237,512110,2021-09-01 00:00:00,16,6264.22
213,32353079,154553043,2021-06-01 00:00:00,180,6244.2
127,871,495641,2021-11-01 00:00:00,6000,6240
127,4462,496822,2021-04-01 00:00:00,732,6219.1
72,19392432,90952847,2021-11-01 00:00:00,160,6197.41
213,32351569,154554070,2021-01-01 00:00:00,7200,6192
127,4462,496584,2021-09-01 00:00:00,28,6188.58
127,1530,511404,2021-04-01 00:00:00,200,6162.6
127,1872,495587,2021-02-01 00:00:00,6000,6156
127,1872,495587,2021-05-01 00:00:00,6000,6156
127,4216,495298,2021-02-01 00:00:00,960,6153.14
127,847,497584,2021-02-01 00:00:00,100,6149
127,3307,507270,2021-03-01 00:00:00,104,6124.56
127,4216,511289,2021-09-01 00:00:00,288,6114.14
72,19393927,90967800,2021-08-01 00:00:00,16,6099.33
127,4462,488967,2021-03-01 00:00:00,190,6080.04
72,19394766,90974130,2021-07-01 00:00:00,4,6070.049999999999
127,4993,511267,2021-07-01 00:00:00,4,6054.92
127,14425627,506452,2021-07-01 00:00:00,10,6038.5
72,19392432,90983628,2021-04-01 00:00:00,32,6031.72
72,19393927,90963584,2021-06-01 00:00:00,8,6029.77
127,4176,489326,2021-08-01 00:00:00,48,6013.86
127,23049184,122925952,2021-11-01 00:00:00,1200,6012
127,4993,490111,2021-01-01 00:00:00,30,5996.1
213,32357561,154551095,2021-10-01 00:00:00,100,5980.78
127,3584,492323,2021-09-01 00:00:00,54,5953.84
127,3273,493395,2021-06-01 00:00:00,9600,5952
127,3273,493395,2021-07-01 00:00:00,9600,5952
127,871,495641,2021-06-01 00:00:00,6000,5940
127,871,495641,2021-07-01 00:00:00,6000,5940
72,19394766,90952012,2021-07-01 00:00:00,4,5875.950000000001
127,4462,505145,2021-02-01 00:00:00,16,5870.72
127,3584,512042,2021-03-01 00:00:00,8,5860.08
127,4462,492323,2021-01-01 00:00:00,66,5857.48
72,25556467,90960391,2021-10-01 00:00:00,200,5856.62
241,5664978,22625740,2021-06-01 00:00:00,70,5839.92
127,4176,507386,2021-10-01 00:00:00,256,5835.26
211,3466244,12997890,2021-06-01 00:00:00,3600,5832
211,3466244,12997890,2021-09-01 00:00:00,3600,5832
127,4218,491688,2021-11-01 00:00:00,84,5823.36
241,5664978,22622140,2021-03-01 00:00:00,0,5821.2
127,3584,493025,2021-02-01 00:00:00,60,5813.76
213,32351569,154547222,2021-09-01 00:00:00,1550,5812.5
127,871,504561,2021-10-01 00:00:00,32,5760
72,19394766,90942950,2021-07-01 00:00:00,4,5750.969999999999
213,32353079,154572889,2021-06-01 00:00:00,192,5748.48
127,4462,496822,2021-09-01 00:00:00,660,5737.1
127,1175,503603,2021-01-01 00:00:00,90,5731.2
72,19392432,139606310,2021-11-01 00:00:00,2,5722.64
211,3468752,12968118,2021-11-01 00:00:00,6480,5702.4
211,3459454,12955291,2021-07-01 00:00:00,600,5682
127,871,490074,2021-05-01 00:00:00,180,5655.6
213,32351569,154551660,2021-06-01 00:00:00,3000,5610
127,3584,510666,2021-07-01 00:00:00,16,5599.22
127,3584,510666,2021-09-01 00:00:00,16,5599.22
127,4462,510666,2021-10-01 00:00:00,16,5574.58
127,3584,507386,2021-08-01 00:00:00,256,5568
127,4462,507386,2021-09-01 00:00:00,288,5536.68
127,2433,499042,2021-03-01 00:00:00,126,5513.76
127,847,508525,2021-02-01 00:00:00,1440,5486.4
93,5653327,22560726,2021-04-01 00:00:00,0,5484.79
127,4218,508887,2021-11-01 00:00:00,80,5482.74
127,5284,490007,2021-03-01 00:00:00,40,5481
93,5653327,22560726,2021-02-01 00:00:00,0,5475.38
127,3307,499280,2021-03-01 00:00:00,570,5466.3
127,3584,502101,2021-03-01 00:00:00,20,5465.6
93,5653327,22560726,2021-08-01 00:00:00,0,5447.280000000001
93,5653327,22560726,2021-07-01 00:00:00,0,5445.68
127,1285,504326,2021-07-01 00:00:00,30,5441.1
127,4216,511289,2021-07-01 00:00:00,256,5437.98
93,5653327,22560726,2021-10-01 00:00:00,0,5436.83
127,3584,495954,2021-05-01 00:00:00,50,5414.5
127,2289,503964,2021-08-01 00:00:00,20,5398.5
127,4462,503677,2021-10-01 00:00:00,126,5340.52
72,19394766,90947156,2021-07-01 00:00:00,8,5328.63
127,3584,497247,2021-02-01 00:00:00,100,5323.44
127,3584,503641,2021-06-01 00:00:00,8,5297.52
127,2289,503964,2021-04-01 00:00:00,20,5272
127,4216,489326,2021-03-01 00:00:00,32,5265.32
213,32353079,154549124,2021-06-01 00:00:00,168,5255.04
127,4462,488668,2021-04-01 00:00:00,180,5248.46
72,19392432,90980352,2021-06-01 00:00:00,20,5241.71
241,5664978,22638605,2021-08-01 00:00:00,0,5232.5
127,4993,505428,2021-11-01 00:00:00,40,5227.6
127,4216,511013,2021-02-01 00:00:00,4,5201.4
127,4218,496710,2021-11-01 00:00:00,24,5198.26
127,3584,503481,2021-07-01 00:00:00,10,5191.1
213,32353079,154555172,2021-12-01 00:00:00,448,5178.88
72,19394766,90942374,2021-06-01 00:00:00,4,5176.639999999999
127,3584,503641,2021-02-01 00:00:00,8,5173.34
127,4216,503641,2021-05-01 00:00:00,8,5173.34
127,4216,506453,2021-04-01 00:00:00,20,5173.12
127,3584,510666,2021-01-01 00:00:00,16,5164.4
127,4237,509713,2021-08-01 00:00:00,20,5154.42
127,5392,506595,2021-02-01 00:00:00,36,5153.8
211,3483291,12975402,2021-06-01 00:00:00,6600,5153.28
127,1872,511445,2021-11-01 00:00:00,1800,5149.44
127,4462,496407,2021-11-01 00:00:00,30,5147.36
72,19392432,90973925,2021-11-01 00:00:00,128,5139.32
72,19392432,90980123,2021-11-01 00:00:00,160,5139.32
127,847,510722,2021-02-01 00:00:00,252,5133.24
72,19392432,90983338,2021-11-01 00:00:00,32,5124.21
147,40322,152,2021-06-01 00:00:00,260,5119.4
72,19393228,90952155,2021-03-01 00:00:00,8,5115.1900000000005
127,3584,503690,2021-05-01 00:00:00,8,5098.54
211,3468752,13008270,2021-10-01 00:00:00,3120,5085.6
127,847,509985,2021-02-01 00:00:00,192,5066.88
127,3251,506608,2021-03-01 00:00:00,100,5065
213,32348670,154567569,2021-03-01 00:00:00,144,5058.72
127,1285,507386,2021-10-01 00:00:00,634,5056.86
127,871,504561,2021-06-01 00:00:00,28,5040
127,4462,488967,2021-04-01 00:00:00,160,5040
127,4216,511404,2021-02-01 00:00:00,126,5029.7
213,32353079,154553043,2021-02-01 00:00:00,156,5027.88
127,2779309,508124,2021-07-01 00:00:00,2,5026
127,3584,502287,2021-08-01 00:00:00,30,5012.54
