"CUSTOMER_FSK","PRODUCT_FSK","INVOICE_YEARMONTH","GROSS_SALES","UNITS"
8053114896,57947271,"2021/04/01 00:00:00",-29.1,2
6229555742,57955627,"2021/10/01 00:00:00",-28.72,20
8176880167,57946554,"2021/03/01 00:00:00",-28.36,2
8204526363,57939328,"2021/05/01 00:00:00",-28.3,24
8267732462,57950049,"2021/09/01 00:00:00",-27.82,8
8038873476,57939328,"2021/06/01 00:00:00",-27.8,12
7423667522,57939139,"2021/03/01 00:00:00",-27.64,96
7863725133,57945169,"2021/05/01 00:00:00",-26.26,36
7781260861,57940352,"2021/09/01 00:00:00",-26.22,24
8056666946,57940261,"2021/10/01 00:00:00",-26.14,2
8106615648,57963064,"2021/09/01 00:00:00",-25.9,8
7999806393,57942404,"2021/06/01 00:00:00",-23.86,24
8151551570,57943272,"2021/03/01 00:00:00",-23.1,16
8267467042,57945169,"2021/06/01 00:00:00",-22.08,12
8271902409,57949838,"2021/09/01 00:00:00",-21.84,8
7869642551,57948722,"2021/07/01 00:00:00",-21.56,40
6946755280,80721149,"2021/06/01 00:00:00",-21.5,50
8269916433,57945876,"2021/01/01 00:00:00",-20.15,140
8125519838,57947850,"2021/05/01 00:00:00",-19.12,4
8264322656,57954448,"2021/11/01 00:00:00",-19.1,4
8267743485,57955623,"2021/06/01 00:00:00",-19.04,8
8084436378,57937385,"2021/07/01 00:00:00",-18.53,20
8240817085,57942079,"2021/05/01 00:00:00",-18.46,120
8043649176,57940184,"2021/04/01 00:00:00",-18.2,2
6300510564,57961556,"2021/03/01 00:00:00",-17.7,200
8109237177,57938180,"2021/09/01 00:00:00",-17.32,8
8214705420,57959998,"2021/03/01 00:00:00",-17.04,120
8254996594,57956649,"2021/07/01 00:00:00",-16.88,20
7652665862,57939295,"2021/09/01 00:00:00",-16.66,4
8175370177,57958909,"2021/01/01 00:00:00",-16.42,168
8120187371,57944034,"2021/04/01 00:00:00",-16.2,2
4372972802,57954448,"2021/07/01 00:00:00",-16.02,108
8270511326,57952120,"2021/05/01 00:00:00",-15.6,8
6656333692,57947887,"2021/06/01 00:00:00",-15.3,4
7069116692,57944383,"2021/03/01 00:00:00",-14.34,80
8006377814,57949611,"2021/06/01 00:00:00",-13.94,4
6489676679,57955375,"2021/02/01 00:00:00",-13.6,4
7997625318,80721117,"2021/06/01 00:00:00",-13.6,40
6616967100,57938684,"2021/09/01 00:00:00",-13.4,8
7759956861,57952452,"2021/07/01 00:00:00",-13.2,20
8184679066,57938396,"2021/05/01 00:00:00",-12.74,120
7844139928,57949656,"2021/09/01 00:00:00",-12.7,60
8016072313,57963110,"2021/09/01 00:00:00",-12.68,4
7379809852,57963246,"2021/07/01 00:00:00",-12.68,20
6031439620,57953764,"2021/07/01 00:00:00",-12.46,20
8120925308,57955094,"2021/03/01 00:00:00",-11.88,120
8240488838,80721290,"2021/05/01 00:00:00",-11.88,8
8271376817,57960953,"2021/09/01 00:00:00",-11.12,8
7372602494,57943470,"2021/06/01 00:00:00",-10.36,8
8218939789,57949891,"2021/03/01 00:00:00",-9.66,96
8130848497,57938985,"2021/09/01 00:00:00",-9.26,60
8218520872,57948265,"2021/11/01 00:00:00",-9.16,20
4906504789,57953862,"2021/08/01 00:00:00",-8.88,2
8225666324,57949061,"2021/09/01 00:00:00",-8.68,56
7964435612,57945733,"2021/05/01 00:00:00",-8.16,4
7517835769,57940434,"2021/02/01 00:00:00",-7.96,4
7971667162,57940434,"2021/05/01 00:00:00",-7.96,4
3411304452,80720768,"2021/05/01 00:00:00",-7.86,4
8147049225,57953195,"2021/11/01 00:00:00",-7.76,2
8044497776,57960943,"2021/01/01 00:00:00",-6.26,64
8098046971,57937357,"2021/03/01 00:00:00",-6.02,240
8171982738,57940629,"2021/01/01 00:00:00",-5.86,16
7938533546,57959515,"2021/01/01 00:00:00",-5.15,12
6213341245,57938947,"2021/09/01 00:00:00",-4.66,4
